contents,star,agree,date
Everytime I have tried to log in the past week it logs me out and will not let me log back in.,3,3,2023-08-14 12:55:20
"Great app. Good workouts. Only 4 stars because it is infuriating that you can't download programmes in advance. Not all of us live and work in high and low-cost Internet areas! And great that we have a shopping list, but would be so nice if you could share to whatsapp so you can share when it's your partners turn to shop!",4,1,2022-05-05 01:57:57
"Very decent app, however there were a few issues i found Firstly. The meals in the food section with the shopping list is way too much work There are ingredients you can rarely find with the recipes and you will spend hours at the shop looking for everything Secondly. In the workouts section during the workouts a few of the excercise alternatives are the same as the previous excercise so you end up over working that one excercise Other than that, a decent app but needs some work",3,6,2020-02-08 05:05:16
"The app doesn't take into account neither your experience, nor your abilities, height, weight. I haven't trained in years, indicated or in the app. The very first workout it suggest, with Hemsworth, that killed me after 3rd exercise I nearly fainted. Sure, he is Thor and he can do that stuff so as many other more athletic guys. But you don't ask 20 bucks per month for completely unpersonalised experience. You can find exercises for free for that matter. App looks nice though 🤷‍♂️",2,3,2020-04-02 08:26:27
"This app has completely changed how I think about health and wellness, and I love it! The workouts are challenging yet exciting; and the recipes are delicious and easy to follow. I definitely recommend this to anyone looking for a great way to switch up their routine or just swap to a healthier, more balanced lifestyle.",5,4,2021-04-22 08:42:46
"I've really enjoyed Centr's tailored fitness schedule. The trainers are great, the workouts are dynamic, interesting and ever changing. The meal plans are great inspiration for me! I just find the app a bit hard to navigate.",4,1,2020-04-06 07:21:48
"Amazing app. Breaks down everything to do with diet, exercise and more which makes working out less of a chore and more of a fun challenge. I'm in the best shape of my life and aim to get better with the use of this app. Also busts the mentality that you have to lift heavy, lift to failure and always push out one last rep to achieve your goals. Work smart, not hard. Can't recommend this app enough.",5,12,2020-07-17 12:50:52
"This app has meditation, different workouts (cardio, boxing, yoga, etc and different professionals to fit your needs), sleep visualizations, and healthy meal plans. This app is great as long you put the work in. Even if you're just in for the meditation for instance, you still get your money worth. I highly recommend it.",5,0,2020-06-28 04:45:48
Really enjoying the workouts and the structure. Only slight critique is that I personally love variation. Once you've done a week the next week is the same pretty much. It would be so good to have a switch up. But I know that's being picky. Otherwise it's 👌,4,0,2021-01-12 10:24:22
"It is a good app, but the cost doesn't make much sense. Most of the work outs require gym membership / major gym equipment which is impossible in this environment. Then add in the food / meal plan which makes matters worse. 15 minute cook time that requires shopping for ingredients and magically getting it all together while juggling work & kids. Honestly the app actually causes stress more than it does taking it away. I'll give it a month, but it doesnt look promising.",3,20,2020-12-09 06:40:57
It's a great experience just needs more content some of the workouts are repetitive but I'm a customer. 2nd review i love the app just a few I think I'm gonna like the new program thats coming out as the older I've got the more I need yoga . Listen if I have 1 complaint the music on the other programs suck ! And just one other thing I know you can set your planner up but on self guided days I need to switch that maybe to yoga and I can't and I'm so OCD your great though Love the app!,5,0,2021-01-12 23:32:54
"Amazing fitness app. Excellent meal plans, workouts and well-being section. This app has really helped me improve my diet and I am training harder then ever! The various difficulty levels will be handy for more experienced exercisers and those just starting out. Highly recommend.",5,3,2022-02-08 01:51:45
"Great fitness support, like having a personal trainer! I've done lots of different exercise styles in my life, but I'm particularly enjoying this app! Something about following along and checking off exercises on the phone I find encouraging and I'm motivated to train all the time. I highly recommend this app!",5,1,2020-05-16 21:56:57
"I love it!!! It's giving me so much more strength, flexibility, and agility than i could have ever imagined!! I have so much energy to go about each day with a positive attitude!! My endorphins are at another level because I feel so proud of every challenging circuit I complete!! My body is changing in ways I never thought imaginable and I am beyond happy with this app!! The trainers are so enthusiastic and funny (donuts)! It's well worth the money and the recipes are easy and delicious.",5,0,2022-05-10 02:00:11
"Too advanced. I felt like I already needed to be in good shape. Im over 55 and disabled and there was no way I could handle the exercies. I did like some of the meals but found them out of my budget. And the meditation was a grest idea. Another drawback was the price. It would have been fine if I could pay monthly, but a whole year at a time was out of my limited budget. I do wish you best of luck Chris and your splendid team!",3,2,2021-01-22 17:49:25
Great app with easy to follow programs that include video descriptions of each exercise. Would be a 5 star app if the timer worked in the background and if the app worked without an internet signal. For the subscription price I would expect these features by default.,3,0,2022-06-09 23:03:40
"Great app, just following the recipes and the workouts I have already lost 5kg in 4 weeks and I have been able to gain muscles, also I'm feeling more energetic during the day. Little feedback advice: If you can introduce a ""list of favourite workout"" it would be fantastic. I always need to go through the workouts to find the one I wanted. Thanks a lot",4,2,2020-05-21 05:30:22
"One of the most well-rounded fitness apps out there! The workouts are varied, and you can increase/decrease the level of difficulty based on your goals. The food is nutritious, and the cooking instructions are clearly stated. The meditations bring a much appreciated moment of peace, and the community you gain access to is encouraging and supportive. The only reason this is not a 5 star review is due to the absence of a chromecast feature (which I'm sure will come). Otherwise, it's perfect!",4,5,2020-02-14 09:48:34
"Very good app, great workouts, some great recipes, and great meditations. It is rather pricy but definitely worth it. Works best if you have a schedule to give yourself enough time to prepare meals and complete the workouts. Overall a great app and great lifestyle.",4,0,2020-05-16 20:51:25
"Been using this app for about 2 and a half weeks and I love it. It is such a well rounded fitness app and totally worth it. The recipes are great and so easy, love that it has a shopping list I can use. I haven't lost weight but I lost 1 inch in my waist and 1 inch in my thighs after just the first week. Loving this app.",5,7,2021-08-18 23:27:48
"I've been using this app for 3 months now and have lost a total of 26 pounds so far. I'm not quite to my goal yet (another 22 lbs) but I have put on a lot of muscle and look and feel much healthier than I have ever felt before. I've never been confident in how I've looked before, but this app has turned that right around. The workouts are definitely not easy, but you can feel yourself being able to do just a little bit more each week.",5,2,2020-04-08 02:05:26
Worth every penny! I work full time in healthcare and take care of an active toddler with another kid on the way any day now. Needless to say carving out the time for a full fitness routine is a struggle. Thankfully Centr takes care of all the planning and tells you EXACTLY what to do and how to do it with an incredibly easy to use interface. They even get your kids involved with some of the activities. I've been at it 30 days now and def notice an improvement in muscle gain and overall health.,5,15,2020-10-27 23:41:44
"I can't really rate this app as I didn't get to actually do any of the workouts. Not many options for the payment plans, either pay £23/monthly and end up paying £276/year or choose the £94 12months plan which has to be paid all at once. Ill agree it still works out cheaper monthly than most gym memberships but still gutted the payment plans are so rigid. I'd heard so many good things about centr workouts and I was really looking forward to working out with this app.",1,15,2022-01-03 14:01:23
Could use the function to download workouts and programs. My undergound gym has no mobile phone signal whatsoever so the self guided option doesn't help. Hope this will be implemented in the future. Otherwise very happy to continue my subscription for this excellent fitness app which includes meal plans. Has a big library of workouts from weightlifting to boxing to yoga so there's a lot of variety on offer. Excited for the new workout program starting soon.,4,0,2021-01-14 08:12:41
This is a Great app for a workout at home or the gym. I love all the different options you have for workouts and i can keep my workouts interesting and not get burned out. The meditation is a huge bonus! My girls love the ones for kids and i do a meditation daily ♡ And all the food is delicious! This app is amazing and very well thought out.,5,22,2021-09-28 16:26:40
Incredible fitness tool. The daily plan is nice and varied and offers up some great recepies and workouts. I do wish they included some suspension training / trx workouts as these are great for at home or on the road. Also wish that when following a programme that it would add that into your daily planner. Well worth the subscription though.,5,0,2021-02-20 08:08:13
"This is the best app i have tried so far and ive tried alot. The app auto loads your workouts and meals every day based on goal and experience. Dont like a meal theres a button to swap it out. You just check off everything in your planner and your done for the day. The meals rely on real food not supplements. It will also create a shopping list based on your week of meals. Big family np, just increase the servings and the recipe and shopping list increase.",5,26,2021-06-09 20:50:46
"This app is perfect! It has helped me eat healthier while still always feeling full and my old cravings have vanished. The shopping list they put together is the cheapest list I've ever had. I am stronger, happier, healthier. This is by far and away more than I ever expected and I have never been happier to be a part of this team of legends!",5,1,2020-04-06 16:32:05
"Amazing food, brilliant workouts (for all abilities),Great articles/podcasts/meditations. Easy to use with great save/swap feature. A brilliant online support community and an App team who really engages with and listens to users. I love love love this, wouldn't be without it x",5,0,2020-07-14 10:05:57
"It may just be the center 6 program but it looks like the trainers only do 2 rounds, the set up round and the second round and then that is repeated for the other 4. It would be nice to see them do the full workout. 👍",4,0,2021-02-18 17:53:47
Thumbs up for finally developing the Android version. The app is fluid and easy to navigate. It could be better if the app had an offline mode where you could download videos to your device. Isn't the idea of this app to work out anywhere possible?,4,4,2019-12-17 13:53:08
"Great app. I, personally never realised how effective it was to have a personal trainer/coached workout. Made a big difference to my motivation and I'm now feeling fitter. So many coaches and options to choose, meaning this app suits all! Personal favourites were Michael the boxer(tuesday) and Luke's hitt strength (Monday)! Also really enjoyed the video with Luke and Chris Hemsworth doing a bonus workout! Recommend highly!only issue is how complex some meal's are therefore hard to obtain.",4,1,2020-07-02 11:44:15
"Great lifestyle app. I open it 3 - 5 times a day and have certainly noticed a difference in my level of fitness (I generally keep a pretty healthy diet and also worked out regularly prior to signing up for centr). I have a few wishlist items for the app, but its core purpose is certainly achieved.",5,0,2020-07-17 23:54:59
"I'm very impressed by the content this app has to offer. It has various training programs that target every part of the body. Programs are included that require weight and there's also several workout programs that are all bodyweight exercises. This app is ideal whether you prefer to work out at home with limited equipment or at the gym where equipment is provided. Several meal plans are included as well, and there's even a section for meditation. Clearly the developer cares about the customer.",5,0,2020-04-07 01:02:11
"Really love this app, super user friendly, has a HUGE variety of workouts from trainers, to type of class, duration of class, and level of difficulty. The meals are delicious and as a mom I appreciate how they are so family friendly. I honestly recommend this app to as many people as I can.",5,3,2021-04-13 05:08:31
"Pretty comprehensive app with meal plan, workout routines for both physical and mental wellness. Great for anyone beginner, experienced or advanced when it comes to personal fitness. Seeing results already in two weeks on the muscle growth program. Listen to the trainers, they are great at coaching form to prevent injury and maximize the routine! Would definitely recommend if your goals are to lose weight or gain muscle!",5,5,2021-06-20 18:27:44
"I'm loving this app... the work outs really get you going, I added cardio to get my heart rate in and then jump into the workout. If you don't have the equipment use alternatives... ( gallons, towels, jugs) for me I used my bowling ball 10lbs, 12lbs and a 14lbs for advancement... not there yet I'm in between beginner and intermediate. Keeping this app after the trial!",5,11,2020-03-27 18:44:43
"Only one advanced programme. The voice overs for each exercise are very repetitive and outputting after the 3rd or more times. The concept is good, instruction clear and it's definitely a sweaty workout but not enough in the red zone for me",3,3,2021-03-16 19:17:37
"Centr is a great workout program and space. It focuses on a holistic approach with not only solid work outs, but also mediations, recipes, smoothies and snack suggestions. Child meditations have just been added which is ideal for any parents seeing a chaotic amount of there loved ones. The program is what I looked forward to in my 2 weeks of isolation and it kept me motivated. Having 3 main instructors (a couple more pop up none but are Chris Hemsworth) makes if feel slightly more social.",5,1,2020-04-16 05:26:22
I like the variety of routines and trainers available to me. I really enjoy the different 6 week programs they have launched. The meditation and wellness posts are helpful. The menus are always interesting and healthy but not boring.,4,0,2021-03-21 13:30:44
"The app design and interface are well-done! Simply easy to navigate around. The daily planner for exercise and meals is fantastic, it provides a discipline for to get me exercise everyday from the comfort of my home. For mummies, this app is the one!",5,1,2021-12-15 10:43:08
"So easy to use! I love the combination of workouts, food planner and meditation... Truly a whole health approach to fitness. Workouts are so varied, easy to swap, and I am able to fit in 30 min (or less) every day. I am currently loving the Centr 6 workouts!! The recipes are easy to change and are delicious. Loving the meditations...the mental component is often overlooked in most fitness programs. Overall, simple, well rounded and inspiring! What more could you want!",5,4,2020-02-17 00:19:22
"Love the App particular how you can mark off all your progress day by day while also adding all your food to the shopping list. Love the meditation and sleep parts also. Only issue I have found is the weight lifting. It seems like very little as it only had me doing two excercise across 5 sets. Would be worried that this isn't enough. The nutritional side as well although the meals are good, it took no input of my current weight and goal weight to calculate calories. Keen for feedback",4,0,2020-01-20 19:00:55
"Great all around fitness app. You get more than what you're paying for and dven if you only use one of the features is so worth it. This helped me get back to exercise because they're fast, easy workouts for all types of goals. Couldn't recommend it more",5,0,2022-08-05 04:37:27
I thought that this app was a great way for me to try and bulk up my body. Definitely made me feel like I was striving for a new me. I only wish that this app would track your weight and do some before and after photos. Or it could definitely make some monthly or weekly progress notifications. Other than that. This app is definitely great. 👍,4,16,2020-10-30 03:22:51
An option for multiple sessions in a day would be nice. I'm doing yoga in the morning and a workout at lunch but I can only record 1 session. Also a weekly view of the food menu would be nice for when planning the week. Loving the app!!,5,1,2020-04-27 23:09:49
"You've got to stick with it (no pain no gain!) but I don't regret getting this app. It's kept me motivated and I've tried workout styles I've never even thought about before and found real improvement! If you're serious about using the app and getting the most from it, I would recommend it. Hope you all reach your goals! Have fun!",5,1,2020-08-03 12:55:36
"Good so far, enjoy the meal plans and workouts. Have had a recurring issue where the meals portion sizes are poorly planned and end up with far less food than it would take to feed me and my partner for 4 serves as we have set the ingredients to. Also the shopping list has ommited certain items from recipes and instead told us to get things we don't need (i.e no mention of coconut cream for the Dahl we were having that night, yet it told us to buy 8 eggs which were not needed.)",4,1,2020-05-12 21:33:41
99.9% love this app and every thing it offers. My .1% is only that I can't go out of the app to access other apps during my rest periods. When I do that in the middle of a guided workout it loses my progress in that workout and restarts the workout when I open the app again.,5,1,2022-09-27 07:52:52
I love this app. The workouts have made bigger and faster improvements in my body than any other program I've done (and I've done several). I also love the huge variety of recipes that satisfy many styles of eating. AND the meditations put me right to sleep!!,5,1,2020-07-20 15:21:55
"App is easy to use. Never had a problem with it. Love the exercise programs and amount of daily info. Only frustration is sometimes there isn't a modification of a harder exercise, other then that very happy!",5,0,2020-08-23 23:34:55
"Constant new workouts and a great variety of levels. It has decent alternate exercises and a great meal plan. My only wish is to be able to add more than one workout to the daily planner. It lets you swap workouts, but sometimes I wanna add a workout to a certain day.",5,0,2022-04-28 20:46:08
"So easy to get started with the coached workouts, planner and programmes, then build in the nutrition over time. Fits in easily to my gym visits and it's great to see the steady results I've been getting over time. I like that there is a wide variety of disciplines so I can switch to be things as I progress.",5,0,2022-08-29 10:44:27
"I'm giving this app a 3 star rating because it does not have the ability to switch out or add in workout movements, you can't log anything no charts or graph to see previous week of lifting. There are good things about this tho, recipes are nice meditations, sleeping visualization are nice but the workout are just not there exactly if I renew my subscription I would like see some more thing added to the Centr app.",3,0,2022-07-31 19:45:35
"Loving the workouts! Would be great to have a ""save for offline"" option to use when no internet connection is available. I work out at sea a lot so can only use the app when close enough to land to get cell/mobile service.",4,2,2021-10-11 14:06:32
The workouts are so varied and there are so many. I never get bored. The meal plans are AMAZING. Just that justifies the price of the subscription to me. I can focus on Yoga for weeks and then switch to Pilates or weight training. I can follow along with one of the programs or just follow the default plan. It's the best app I've ever used to make healthy eating and getting exercise part of my lifestyle. It would be nice to be able to search for meals with a specific ingredient as a query,5,0,2020-05-28 00:49:41
"confusing at the start if you've no experience. Takes a while to catch on. Lots of options for fitness, recipes, meditation and mental wellness. Absolute best thing is the access to a private Facebook community. Amazing! Motivation, encouragement, support in a non-judgmental atmosphere. Try on a free trial if offered.",4,0,2022-02-23 18:29:22
"Awesome App!!! I seriously love this, it makes working out from home a lot more fun and easy. Also the recipes are amazing. If you want to still eat your guilty pleasure foods then they have those recipes but with healthy versions!! I have been using this app for a week now and and already feel better and have more energy. I am also sleeping better with night time meditation. Get this app, seriously you will never regret it",5,17,2020-04-01 18:56:12
"Varied work outs with different instructors keep in interesting. Also, an appropriate pace and intensity for beginners or someone trying to get back in shape. Experienced video streaming issues for the first time today though...hope its not something that will persist.",4,0,2021-02-06 17:59:03
Great workout and lifestyle platform. Plenty of workout choices so your workout never feels repetitive. Love how they adapted to gym closures by introducing low/no equipment workouts in the planer. Meditations and very helpful and meals look very tasty. Only wish they let you filter meals by excluding foods you don't or can't eat.,5,1,2020-04-28 00:31:48
"Everything you'd ever want in one app! Varied workouts depending on your fitness level. Meals for all types of diets with a handy shopping list. Meditation & tips and tricks, it has everything. And it's easy to use!",5,3,2022-07-04 17:31:25
Great app it has help me be active during the lockdown a bit pricey imo but I paid it anyways. A criticism that I have is that my workout plan has a lot of workouts evolving shoulders and traps almost daily evolving those muscles. Don't get me wrong they look amazing but I would like more variety like more biceps and others. Fortunately you can swap workouts if it feels too repetitive.,4,0,2020-05-21 10:54:09
"Loving this app. Not only does it give a variety of exercises at differing levels and different aspirations, but it also give fantastic menus and meditations along with blogs on different health related topics. Its a fantastic holistic view on well being.",5,1,2020-05-10 23:36:49
Been doing the plan for just 2 weeks. Already lost 14lbs. Looking forward to continuing to get in shape and eat better. Great variety in exercises and meals. Foods delicious too. Wish there was suggested snacks on the plan to fill in any needed vitamins or to give you energy/muscle recovery.,5,1,2020-09-29 22:31:06
"This is nice and informative. I think overall it's a good app, but if you looking for a tailored program with more weights involved and structured meal plan and direction this app is not the one. I think this is a really helpful app for beginners who are just starting out.",3,2,2021-02-13 16:54:14
"Amazing, started losing the stubborn fat around my waist in no time. There are an insane amount of workouts that you can swap to, and each one is different and keeps things interesting. I love that most of the workouts require little equipment, so you can do them at home. Well worth the money!",5,2,2020-02-16 16:24:02
"Great for everything. It has the programs for every pathway and the options to explore or mix up your workouts. On top of the top tier workouts, you have awesome nutrition which taste awesome with meditation and great mental insightful articles. Best app and i feel awesome 👌",5,0,2021-01-17 02:26:50
I love that the workouts are coached and you have the trainers cheering you on the whole time! I started Centr 6 and I'm on my last week. The program is amazing and I cannot wait to start the next one on May 18th. I also love that they have so many recipes on the app and they're all different but amazing. This has to be my favorite workout app and the trainers have a sense of humor during the workouts too which makes it much more fun to complete. I rarely rate any app but this was a must!,5,1,2020-05-09 16:14:17
"Fantastic fitness program, varied, achievable and see results pretty quickly. Love the additional things like meditation and recipes too. Removed half a star as would be great if you could Chromecast the self guided workouts from within the app the same as you can the coached ones.",4,0,2020-05-26 19:05:44
"Centr is comprehensive exercise program that makes it easy to start and maintain a healthy lifestyle. They have a variety of workouts and trainers suited for any fitness goal. Their nutritional program has a wide variety of recipes that are easy, delicious and original. I definitely recommend it!",5,0,2022-02-04 00:11:59
"Do not forget to cancel your free subscription. They will take as much as they can from you, if you forget and won't give you it back! Terrible customer service skills. Pre recorded videos, no personal interaction. Just the same people doing shortened down videos.",1,6,2020-05-07 17:56:44
"Great app, flexible, well structured (love da rulk sessions, keeps my lower back pain away) and cheap. Hubby uses it too. Snack recipes are yummy. I recommend paying A LOT of attention to correct posture and to keep core engaged at all times (ex-pilates fan here). Overall pretty good!",5,4,2021-06-28 00:59:56
"Just downloaded the app today and everything is going smoothly, seems amazing! I like how the entire monthly plan is laid out for you so I can prep meals in advanced. Following everything is simple and no hassle. One issue of mine is that I want to loose belly fat but to also gain muscle. I don't know what to choose as my workouts and my goal and its a little annoying as I'm stuck. I will write another review after my 1 month to see how things went.",4,0,2020-05-25 15:21:13
"This app has me excited to be in the gym again! I love the variety in workouts and trainers the the option to step it up or slow it down in each session. The recipes, meditations, and articles are a huge bonus and you can't beat the centr team and community!",5,0,2020-02-15 16:53:30
There is a great variety of programs for all fitness levels. I have young children so I like the programs that take less time so I can achieve a full workout whenever I get the chance. I also really love all the snacks and meals within the app. I've made a few so far and they're a hit with the whole family. Well done to all involved.,5,14,2020-10-10 06:03:20
Enjoying it heaps so far! Some constructive feedback that I'm sure more users will appreciate: it would be great to have the option to lower the volume; I personally enjoy listening to podcasts or music while I exercise.,5,1,2020-04-02 09:35:52
The App that keeps giving and is so much more than just a workout app. It's straight forward to use and follow. The programmes are varied and all first class. The meal selection keeps growing with loads of tasty options that are customisable. Great blogs and articles to read.,5,0,2022-07-03 17:39:10
"I've used this app sporadically since its release and it's been very helpful. Most of the workouts have a duration of 30 min, perfect for a busy lifestyle. Meals are great, as are the meditation readings. Love the raport and banter between the trainers. Downside: when used daily, it can get a tad repetitive (inc banter) although they often release new content. I'd recommend Centr to have at least one trainer release a new workout every week (Luke!) Or mix up existing recordings like F45.",4,0,2020-07-21 20:43:29
Warning - charged me for an extra year when wanted to cancel. When you cancel you do not get any confirmation. I noticed that they charged me for another year and contacted them the next day. I was told that they will do nothing because they did not have that I cancelled before an have a strict policy. Now I am stuck paying for another year when I thought I had cancelled and had uninstalled the app months before it renewed.,1,0,2022-11-25 10:38:25
"Unable even to create a trial account and get past setup screens - just a cutesy ""sorry we dropped a dumbbell"" error message. Support, if you're reading this, don't bother with a reply. This does not bode well for a paid app; I've already uninstalled.",1,6,2021-01-02 20:27:08
It is a good start. A lot of room for improvement. I should be able to add notes to recipes that can be saved. Being able to relate recipes would be welcomed as well. Self-guides workouts should allow for substitutions and be able to track them.,3,2,2022-03-21 22:36:42
"Daily challenges that keep me moving and interested..I'm at the advanced level and still feel like I am and still can improve. Fantastic menu planning, meditations, and well being articles. The community is supportive and helpful.",5,1,2021-03-02 13:45:24
Unbelievable app. I can't fault it at all. It has everything you need in one app. The workouts are varied and challenging and the food has so much flavour. I used to workout alot doing the same week in week out. Never done Pilates or yoga before but love incorporating them into weekly sessions. Keep up the good work.,5,11,2021-01-31 09:47:32
Tasty meals ( some very strange ingredients in some) - download able meals would be useful Good workouts ( could do with some slightly more toned down for complete beginners) Easy to use app (good layout) Only thing that will hold you back is your own motivation... All in all great app,4,1,2021-01-29 15:32:15
"I love everything this app has to offer. So many choices of workouts, with and without equipment. The meditation choices are abundance too. Recipes are simple to follow, quick and easy plus creates a shopping list too. I've lost 3 kilos so far and I am enjoying Centr to the max.",5,1,2020-06-18 06:34:05
I love everything about this easy to use app the programs are designed for all abilities and strengths the very yummy and realist food recipes options designed around Australian seasonal availability... 😋🤤 Great work team I talk this up to everyone and haven't had any bad experiences reported back!,5,1,2020-08-12 18:37:02
This has been a great at home workout for me and my daughter. All of the exercises are doable at home and the programs keep us on track. We have both seen incredible results in terms of strength and energy level as well as weight loss. I highly recommend Centr to anyone of any fitness level.,5,9,2020-12-28 01:39:31
"Best fitness app so far. Well structured training sessions catering to different range of fitness. Coaches are the best always fun to exercise with! That aside, there is a big community who is always encouraging and loveing and backing each other! Can't ask for more right!",5,0,2020-05-16 02:02:37
"Been using this app since autumn 2020, initially using as a way to keep moving through the multiple lockdowns. Cannot compliment the content enough. Great trainers, great programs, good looking meals and most importantly, the most supportive community of fellow #legends from each corner of the globe.",5,0,2021-03-24 14:43:28
"In an inside world, this is really good to keep track of goals and always have that daily workout to look forward to. The vegan cooking options are tops. This app is more than it's advertised. Good vibes.",5,1,2020-05-01 10:09:08
Riddled with bugs. App constantly crashes. Everything resets when turning phone around. Sounds stupid but you paying for an app by a hemsworth but no where to be seen in any training videos i watched or routines so if your after it for that purpose don't bother.,1,11,2019-12-27 08:14:56
I used the 7 day free trial and it was a surreal experience with the app and i made some solid progress I never thought be possible my issue is if it would be possible to have a free version with some obvious limitations for those who cannot afford the monthly or yearly plan such as myself but other than that an amaizing app keep up the good work,5,1,2020-09-24 10:17:55
"Third week in and I'm enjoying the app alot. For someone who was always lost in the gym and wasn't sure where to begin with workouts and meal plans, this app is definitely helpful. My goal is to build muscle and gain weight and I am already seeing results. The only negative I have so far is you don't have the ability to pre-download the guided workouts in order to save data and this app eats alot of data. I had to take screenshots of the workouts and then log my results once I have wifi.",5,18,2021-11-13 11:40:35
I've been struggling with getting myself to get in shape since highschool. I wasn't comfortable being lanky with no tone. I started using Centr in about July of last year. Couldn't have been a better decision. I love the programs and workouts and love the progress I've made mentally and physically. This app is the greatest.,5,1,2022-01-22 02:05:19
"Hard but also informative. I like the different levels and that if I'm not feeling like a hard workout, I can change to a different one and still feel happy I did something. The recipes tastes so good. The challenges are fun. I like all the trainers too",5,1,2021-08-13 13:05:35
"Be careful to check their billing and subscription terms and conditions. I was unknowingly locked into an ongoing annual subscription after paying 12 months up front. I was no longer using the service but got charged without warning. I realised within 24 hours, but they REFUSED to issue a refund",1,2,2022-02-06 19:58:10
"Great app, awesome workouts, fantastic meal plan, great interface, super cool program. I took 1 star because when I put im female I don't get as much weight training like I love, it's super expensive and I can't listen to my music while I workout. But definitely in top 3 Fitness Apps. I love it",4,5,2020-01-04 00:59:47
"It's everything the advertising suggests. If you're like me and been out of the gym for a while or wandered around the gym lost without a routine this is the app for you. It gives you direction, details of what you'll be doing and why as well as a nice meal guide (though I find myself straying from it quite often.) I did the 7 day trial and found it so helpful I decided to commit for the year and I haven't missed a workout yet. Try it, you won't regret it.",5,0,2022-07-13 19:12:49
"Really bad customer service. I went to cancel two days before expiry but their system was not working and every time I went to the subscription section, it took me back to the main page. I emailed their support team, and they got back to me on the day of renewal and charged me $119. When I queried thus they refused to refund me!",1,46,2021-08-06 01:09:28
Nearly two years into using this app consistently. Has changed my life for sure. Never felt this energetic. Have enjoyed the different workout options available and they keep updating the workouts which keeps the workouts fresh. Highly recommended.,5,0,2022-03-19 14:38:36
I recently downloaded this app for Victorias second wave of lock down. It's been awesome to have pre-planned workouts I can do with my housemates. I am currently doing the 6 week intermediate programme. My only criticism is the repetition of the warm up and warm downs. I would expect for the price that they would be mixed up a little. 6 weeks of the same warm up and cook down is kind of a drag.,4,25,2020-08-19 08:10:04
"I had to stop using this app due to health issues. I had paid for an annual subscription but hadn't used it for about 6 months when I noticed a new charge on my credit card for the subsequent year. I contacted Centr immediately to let them know I didn't want to renew for the year yet they said that were unable to refund the subscription, leaving me out of pocket $130 for a service I am unable to use. Legal but immoral and I'm super disappointed to say the least.",1,15,2023-04-02 04:47:47
I enjoy the variety of workouts styles you can get in this app. Also the recipes are enjoyable. The only thing I wish was there was some way to check progress or set some goals like do at least three workouts for a week for the next month or so,4,1,2020-05-14 20:17:05
Great workout+ app. Doing just the standard set up has given me great results in an easy to follow program. Changes every three weeks or so and the scaling is great. I've only scratched the surface and it's been worth the premium cost,5,0,2022-06-24 01:27:13
"Lots of helpful tools: healthy recipes that you can import directly to a grocery list, swappable (and modifiable) exercises & recipes, etc. Several trainers with different workout and coaching styles, different equipment levels, etc. Note: Some of the recipe ingredients are a little bougie, but can be substituted (ex: ""tuna in spring water"" is just 'tuna in water' for those of us who can't afford to shop at whole foods all the time).",5,1,2023-01-16 23:00:23
"I have been using this app for over a month now and I love it. We have tried other apps that are similar to this one but this one wins hands down. Plenty of variety to choose from, depending on what you want to target. And they just keep improving it with new workouts. Now they have included palates and yoga to choose from in addition to all the other options. I really don't like to pay for an app but this one is worth every penny plus it really is not that expensive for everything you get.",5,17,2020-11-10 23:29:37
"I've been using Centr for more than a year. I find the coached training programs are easy to follow and have challenged myself to do the beginner, intermediate and then advanced for each program. Still working through them and still engaged. It was very good during Covid-19 Lockdown.",5,2,2022-09-29 20:42:14
Best fitness app on the planet! Don't pass it by thinking it's a celebrity vanity project - Centr is far and away the best fitness app I've ever used. 1. The workouts are challenging but work and adjust to all fitness levels. 2. Deliciou recipes galore! 3. Meditations! 4. Useful blog posts! 5. An ever expanding selection of programs for any fitness goals! 5. And saving the best for last: An amazing group of coaches who will challenge and motivate you every step of the way!,5,11,2021-06-15 01:20:41
"A week and a half into the beginner program, and 8 years back pain is suddenly more manageable, sometimes non-existent. It hasn't been easy, but following the program and meal plan have already yielded so many positive benefits, more than any exercise I've done in the past. The trainers are very positive and encourage you to push yourself, but never to the extent that some of the extremists out there take it. I wake up sore the next day, but I can feel my body getting stronger.",5,0,2020-06-20 22:50:26
I've been using this app for going on a year and besides some small things I'd like to see such as substitutions in recipes and not being able to challenge friends like on other fitness apps. It has been great for trying new ideas for eating and working out. 10/10 recommend to try it,4,0,2021-02-12 01:03:00
"Generally one of the better fitness apps... But joining a program has no effect on the daily planner. The recommended workout isn't the day's workout from the program, and when you go into the program there's no way of knowing what day you're up to if you've skipped a day and lost track. They're disconnected. Having joined a program I'd expect that to be the main part of my plan.",3,0,2022-08-20 10:54:21
Excellent and well thought out app! Have been using it for about 3 months and I have been losing 5kg ever since I started! The meditation and sleep visualization portion is very helpful to the mental health as well! Highly recommended!,5,0,2020-07-14 13:04:51
I got the app for free trial. I canceled one day late and had 3 months charged. I wrote them at that to ask for reimbursement of all or at least 2 months. I lost my job 2 days later due to the pandemic. I wrote them again and asked for reimbursement of $65 because I needed it now to pay bills etc. Never heard back.,1,3,2020-05-09 05:56:44
Loving this! Ive been using the free Nike work out and run apps for a year or so. Ive really enjoyed them but what i prefer about this one is there is a program of short 30min daily classes that gives me motivation to work out regularly. Its not just a chain of exercises either its like a proper guided class. The sleep visualisations and meditations are also great. My son loves the kids ones to wind down too. I havent tried the food yet.,5,2,2021-03-15 19:53:39
